util_type,symbol,id,candle_time,action,price,stop_loss,target_price,current_price,exit_price,pnl,status,executed_at,exchange_mode
TRADE_HISTORY,IOC_BPCL,77,15-05-2024 15:19,BUY,-2.21856,-4.32,-0.11,,-0.04535,55148.1,target_hit,16-05-2024 09:54,nse
TRADE_HISTORY,TCS_WIPRO,78,16-05-2024 09:19,BUY,-88.83816,-153.73,-23.94,,-18.27097,36419.5,target_hit,16-05-2024 11:19,nse
TRADE_HISTORY,HINDUNILVR_DABUR,79,16-05-2024 12:14,SELL,33.87509,67.44,0.31,,-3.35796,20507.9,target_hit,18-05-2024 11:34,nse
TRADE_HISTORY,IOC_BPCL,80,21-05-2024 09:24,BUY,-2.33379,-4.39,-0.27,,-0.15843,34613.0,target_hit,22-05-2024 10:09,nse
TRADE_HISTORY,HINDUNILVR_DABUR,81,22-05-2024 09:39,BUY,-44.32402,-78.84,-9.81,,-9.65605,58250.1,target_hit,22-05-2024 10:19,nse
TRADE_HISTORY,NTPC_POWERGRID,82,23-05-2024 09:19,SELL,13.12308,19.22,7.03,,6.43468,41064.8,target_hit,23-05-2024 12:09,nse
TRADE_HISTORY,HINDUNILVR_DABUR,83,23-05-2024 13:19,BUY,-39.58123,-74.64,-4.52,,-1.58212,56545.7,target_hit,24-05-2024 09:19,nse
TRADE_HISTORY,TCS_WIPRO,84,27-05-2024 09:34,SELL,74.40526,138.74,10.07,,9.12594,-38601.3,target_hit,27-05-2024 13:54,nse
TRADE_HISTORY,BAJFINANCE_BAJAJFINSV,85,27-05-2024 11:59,SELL,79.65338,151.39,7.92,,5.37205,-38882.8,target_hit,28-05-2024 13:49,nse
TRADE_HISTORY,HINDUNILVR_DABUR,86,28-05-2024 09:34,BUY,-40.87755,-77.62,-4.13,,-2.3395,49567.4,target_hit,28-05-2024 10:59,nse
TRADE_HISTORY,BAJFINANCE_BAJAJFINSV,87,29-05-2024 11:29,SELL,78.24995,154.39,2.11,,-1.27095,34126.4,target_hit,29-05-2024 13:39,nse
TRADE_HISTORY,HINDUNILVR_DABUR,88,29-05-2024 15:24,SELL,35.10007,72.08,-1.88,,-3.73295,34628.8,target_hit,31-05-2024 15:24,nse
TRADE_HISTORY,BAJFINANCE_BAJAJFINSV,89,31-05-2024 10:34,SELL,80.27958,155.25,5.3,,-0.92452,4361.2,target_hit,31-05-2024 13:59,nse
TRADE_HISTORY,NTPC_POWERGRID,90,03-06-2024 09:24,BUY,-6.71714,-12.89,-0.54,,-12.90085,-69684.1,stop_loss_hit,03-06-2024 10:44,nse
TRADE_HISTORY,IOC_BPCL,91,03-06-2024 09:24,BUY,-2.67908,-4.53,-0.82,,-0.35689,74119.5,target_hit,03-06-2024 09:49,nse
TRADE_HISTORY,HINDUNILVR_DABUR,92,03-06-2024 10:34,SELL,32.6066,67.1,-1.89,,-8.03595,54412.5,target_hit,04-06-2024 09:44,nse
TRADE_HISTORY,NTPC_POWERGRID,93,03-06-2024 10:49,BUY,-13.39562,-19.82,-6.97,,-6.74744,56736.5,target_hit,03-06-2024 11:09,nse
TRADE_HISTORY,NTPC_POWERGRID,94,03-06-2024 11:14,BUY,-7.29871,-13.87,-0.73,,-0.51028,20304.6,target_hit,03-06-2024 13:59,nse
TRADE_HISTORY,TCS_WIPRO,95,03-06-2024 11:39,BUY,-62.22177,-128.81,4.37,,18.25956,64549.9,target_hit,04-06-2024 09:29,nse
TRADE_HISTORY,IOC_BPCL,96,03-06-2024 13:24,SELL,2.62662,4.5,0.76,,0.51697,55654.7,target_hit,04-06-2024 09:24,nse
TRADE_HISTORY,NTPC_POWERGRID,97,03-06-2024 15:19,SELL,6.52048,13.21,-0.17,,-0.74713,46975.7,target_hit,04-06-2024 10:39,nse
TRADE_HISTORY,BAJFINANCE_BAJAJFINSV,98,04-06-2024 09:19,BUY,-70.32633,-139.78,-0.87,,12.24619,70437.1,target_hit,04-06-2024 09:29,nse
TRADE_HISTORY,IOC_BPCL,99,04-06-2024 09:49,SELL,2.57927,4.59,0.57,,0.53196,57540.1,target_hit,04-06-2024 10:49,nse
TRADE_HISTORY,HINDUNILVR_DABUR,100,04-06-2024 11:04,SELL,35.75873,70.79,0.73,,-2.78485,21190.8,target_hit,04-06-2024 14:09,nse
TRADE_HISTORY,IOC_BPCL,101,04-06-2024 11:24,SELL,3.15662,5.19,1.12,,6.66811,-113062.7,stop_loss_hit,04-06-2024 12:09,nse
TRADE_HISTORY,BAJFINANCE_BAJAJFINSV,102,04-06-2024 11:59,SELL,84.89637,154.71,15.08,,157.70406,-63405.1,stop_loss_hit,04-06-2024 12:04,nse
TRADE_HISTORY,BAJFINANCE_BAJAJFINSV,103,04-06-2024 12:09,SELL,227.89148,297.79,157.99,,128.85794,74645.4,target_hit,04-06-2024 12:24,nse
TRADE_HISTORY,IOC_BPCL,104,04-06-2024 12:14,SELL,8.48511,10.61,6.36,,-0.7759,223587.4,target_hit,04-06-2024 12:29,nse
TRADE_HISTORY,NTPC_POWERGRID,105,04-06-2024 12:24,BUY,-8.78571,-15.46,-2.12,,-1.50445,62247.1,target_hit,04-06-2024 12:34,nse
TRADE_HISTORY,BAJFINANCE_BAJAJFINSV,106,04-06-2024 12:29,SELL,147.33191,220.81,73.85,,66.36199,47245.2,target_hit,04-06-2024 12:39,nse
TRADE_HISTORY,NTPC_POWERGRID,107,04-06-2024 13:09,BUY,-8.09493,-14.86,-1.33,,-1.00892,34789.4,target_hit,04-06-2024 13:59,nse
TRADE_HISTORY,BAJFINANCE_BAJAJFINSV,108,04-06-2024 14:04,BUY,-104.6854,-182.84,-26.53,,-18.46967,41067.5,target_hit,04-06-2024 14:19,nse
TRADE_HISTORY,BAJFINANCE_BAJAJFINSV,109,04-06-2024 15:14,BUY,-88.77344,-166.39,-11.16,,-7.10132,36890.6,target_hit,05-06-2024 09:19,nse
TRADE_HISTORY,TATASTEEL_HINDALCO,110,05-06-2024 09:19,SELL,8.31371,11.83,4.8,,2.78237,24111.1,target_hit,05-06-2024 09:39,nse
TRADE_HISTORY,IOC_BPCL,111,05-06-2024 09:39,SELL,2.35957,4.61,0.11,,5.42555,-93546.2,stop_loss_hit,05-06-2024 09:59,nse
TRADE_HISTORY,ULTRACEMCO_GRASIM,112,05-06-2024 09:44,SELL,131.95968,263.54,0.38,,-21.15816,36107.3,target_hit,05-06-2024 12:24,nse
TRADE_HISTORY,IOC_BPCL,113,05-06-2024 10:04,SELL,4.55958,6.84,2.28,,1.87476,40052.4,target_hit,05-06-2024 10:14,nse
TRADE_HISTORY,HINDUNILVR_DABUR,114,05-06-2024 11:29,SELL,44.52228,81.05,7.99,,-8.14494,72084.6,target_hit,05-06-2024 12:14,nse
TRADE_HISTORY,ULTRACEMCO_GRASIM,115,05-06-2024 13:44,BUY,-167.61964,-304.13,-31.11,,-5.00792,11788.7,target_hit,05-06-2024 14:44,nse
TRADE_HISTORY,NTPC_POWERGRID,116,06-06-2024 09:19,SELL,7.36484,14.13,0.6,,0.35914,32427.4,target_hit,06-06-2024 10:54,nse
TRADE_HISTORY,TATASTEEL_HINDALCO,117,06-06-2024 09:24,SELL,3.57366,7.12,0.03,,0.01281,-20107.6,target_hit,06-06-2024 10:24,nse
TRADE_HISTORY,TCS_WIPRO,118,06-06-2024 09:34,BUY,-61.42409,-125.2,2.35,,-140.04517,-101449.0,stop_loss_hit,07-06-2024 09:19,nse
TRADE_HISTORY,BAJFINANCE_BAJAJFINSV,119,06-06-2024 09:44,SELL,111.91402,187.42,36.41,,27.04032,-3577.0,target_hit,06-06-2024 10:29,nse
TRADE_HISTORY,IOC_BPCL,120,06-06-2024 09:54,SELL,2.32642,4.6,0.06,,-1.39986,89364.7,target_hit,06-06-2024 10:44,nse
TRADE_HISTORY,HINDUNILVR_DABUR,121,06-06-2024 13:04,BUY,-39.61169,-76.39,-2.83,,-2.06085,-40835.6,target_hit,07-06-2024 11:34,nse
TRADE_HISTORY,TCS_WIPRO,122,07-06-2024 09:24,BUY,-138.28168,-204.67,-71.89,,-70.50302,-1255.0,target_hit,07-06-2024 10:19,nse
TRADE_HISTORY,BAJFINANCE_BAJAJFINSV,123,07-06-2024 10:59,SELL,79.17736,153.08,5.27,,1.67733,22336.9,target_hit,07-06-2024 12:44,nse
TRADE_HISTORY,TATASTEEL_HINDALCO,124,07-06-2024 11:39,SELL,3.7103,7.23,0.19,,0.06541,-32861.9,target_hit,07-06-2024 14:34,nse
TRADE_HISTORY,ULTRACEMCO_GRASIM,125,07-06-2024 12:04,SELL,140.42935,279.33,1.53,,-8.83616,-10585.2,target_hit,07-06-2024 15:09,nse
TRADE_HISTORY,IOC_BPCL,126,07-06-2024 15:09,BUY,-2.44109,-4.68,-0.21,,-0.04671,22811.9,target_hit,10-06-2024 13:04,nse
TRADE_HISTORY,ULTRACEMCO_GRASIM,127,10-06-2024 09:44,SELL,149.90977,294.31,5.51,,-24.3486,48508.9,target_hit,10-06-2024 10:19,nse
TRADE_HISTORY,BAJFINANCE_BAJAJFINSV,128,10-06-2024 10:09,BUY,-76.91758,-150.25,-3.59,,-0.04029,-5765.8,target_hit,10-06-2024 13:19,nse
TRADE_HISTORY,HINDUNILVR_DABUR,129,10-06-2024 12:04,BUY,-38.6612,-74.93,-2.39,,-0.93996,-5087.7,target_hit,10-06-2024 14:34,nse
TRADE_HISTORY,ULTRACEMCO_GRASIM,130,11-06-2024 09:39,SELL,143.87755,285.27,2.49,,-1.95148,47057.7,target_hit,11-06-2024 11:54,nse
TRADE_HISTORY,TATASTEEL_HINDALCO,131,11-06-2024 10:39,SELL,3.72003,7.29,0.15,,0.09488,38626.4,target_hit,12-06-2024 09:29,nse
TRADE_HISTORY,BAJFINANCE_BAJAJFINSV,132,12-06-2024 09:59,SELL,92.39918,166.27,18.53,,15.22061,54726.4,target_hit,12-06-2024 11:09,nse
